WR_mass,N_mass,on_shell_count,off_shell_count,offshell_below99_count
3500,2400,16556,1676,14
3500,2900,16531,1535,18
3500,2800,16509,1584,18
3500,3000,16431,1503,14
3500,3400,16294,1293,11
3500,3100,16406,1435,18
4000,200,12744,3619,2431
3500,3300,16378,1322,21
3500,3200,16488,1343,14
4000,700,15027,2454,1045
4000,1300,16394,1743,284
4000,1200,16345,1827,360
4000,400,13943,3048,1751
4000,2000,16823,1609,38
4000,600,14709,2604,1253
4000,1100,16028,1960,478
4000,500,14325,2846,1535
4000,1400,16547,1782,251
4000,1600,16625,1702,142
4000,300,13335,3310,2074
4000,1800,16841,1567,59
4000,2200,16925,1590,36
4000,2100,17000,1543,22
4000,1700,16726,1678,91
4000,1000,15907,2064,574
4000,800,15344,2284,873
4000,2400,17019,1510,19
4000,2300,16959,1473,26
4000,2700,16987,1482,20
4000,2900,16962,1506,10
4000,1900,16869,1608,53
4000,2800,16918,1506,21
4000,2500,17049,1484,25
4000,2600,16994,1510,19
4000,3200,16986,1333,17
4500,200,11419,4249,3413
4000,3300,17037,1297,17
4000,1500,16661,1660,190
4000,3000,16889,1457,24
4000,3100,17005,1384,15
4000,3900,16807,1094,5
4000,3500,17044,1196,12
4000,3800,16996,1039,12
4000,3600,16985,1110,12
4000,3400,17116,1189,18
4000,3700,17021,1056,12
4500,1000,15645,2237,1041
4500,1400,16701,1648,467
4500,1300,16303,1873,591
4500,600,13859,3060,1935
4500,2300,17460,1251,28
4500,500,13507,3229,2239
4500,2200,17369,1326,46
4500,700,14508,2699,1642
4500,1200,16258,1865,655
4500,1500,16839,1578,346
4500,2000,17393,1312,95
4500,800,14815,2587,1424
4500,3000,17523,1257,15
4500,400,12798,3608,2681
4500,900,15282,2358,1229
4500,1100,15837,2075,892
4500,2100,17354,1319,67
4500,1700,17023,1456,223
4500,2600,17440,1302,20
4500,2900,17559,1256,13
4500,1900,17257,1340,112
4500,2800,17623,1198,23
4500,3100,17626,1178,15
4500,2500,17518,1249,18
4500,2700,17531,1285,23
4500,3400,17552,1189,16
4000,900,15671,2176,749
4500,2400,17417,1266,27
5000,200,9980,4978,4375
4500,4000,17565,904,13
4500,3200,17583,1181,12
4500,3500,17483,1168,17
4500,4300,17559,846,6
4500,3900,17648,971,11
4500,4200,17626,852,9
4500,3600,17592,1108,19
4500,4100,17587,898,11
4500,4400,17365,930,10
4500,3300,17576,1193,20
4500,3700,17559,1089,16
5000,1200,15899,2061,1085
5000,800,14133,2959,2076
5000,1300,16194,1874,968
4500,3800,17615,1036,16
5000,1600,16968,1521,502
5000,1800,17233,1377,343
5000,1700,17171,1402,410
5000,1100,15631,2245,1340
5000,2000,17565,1171,184
5000,900,14607,2698,1812
5000,1400,16447,1743,775
5000,2200,17833,1083,101
5000,400,11715,4054,3376
5000,1500,16823,1541,647
5000,2100,17588,1203,122
4500,300,12360,3713,2826
5000,2300,17825,1102,79
5000,1000,15102,2449,1553
5000,1900,17452,1261,252
5000,2500,17856,1118,36
5000,600,12990,3545,2742
5000,700,13546,3241,2396
5000,3000,18047,1010,20
5000,2800,17950,1013,17
5000,500,12415,3784,3106
5000,3300,18022,1013,7
5000,2900,18027,1054,23
5000,4200,18029,832,7
5000,3700,18091,938,14
5000,3600,18071,942,16
5000,4300,18040,819,8
5000,4100,18079,851,14
5000,3100,18066,1019,14
5000,4700,18105,669,6
5000,3200,18088,983,21
5000,4400,18246,649,7
5000,3500,18031,997,15
5000,4000,18122,863,9
5000,3400,18086,958,11
5000,4800,18062,649,6
5000,4600,18128,667,8
5000,2400,17832,1070,45
5000,2600,17940,1031,32
5000,4900,17874,688,2
5000,4500,18119,713,9
5500,1800,17212,1380,528
5500,1000,14288,2867,2186
5500,1900,17414,1292,426
5000,3800,18135,916,19
5500,1200,15410,2321,1621
5500,1400,16147,1880,1122
5500,1300,15547,2180,1387
5000,3900,18072,912,12
5500,2300,17912,1016,166
5500,2400,18023,1007,124
5500,1500,16508,1751,972
5500,1100,15057,2524,1835
5500,200,8656,5589,5159
5500,1600,16815,1585,854
5500,600,11809,4093,3539
5500,3100,18279,897,21
5500,1700,16987,1530,674
5500,2900,18240,865,25
5500,2100,17726,1126,295
5500,3000,18299,901,21
5500,2200,17894,1068,206
5500,800,13079,3438,2763
5500,2000,17605,1185,363
5500,700,12542,3745,3139
5500,4000,18404,778,7
5500,3300,18408,813,21
5500,3900,18419,777,8
5500,2500,18099,930,88
5500,4400,18377,725,11
5500,5300,18340,556,7
5500,4700,18399,712,12
5500,2600,18178,892,43
5500,900,13678,3127,2443
5500,4100,18461,735,13
5500,2700,18274,873,36
5500,3400,18434,803,15
5500,5100,18418,541,6
5500,4300,18455,750,13
5500,4600,18472,668,7
5500,3500,18461,800,11
5500,2800,18169,910,32
5500,3600,18369,851,15
5500,4900,18410,580,5
5500,3200,18378,850,12
5500,3700,18477,760,11
5500,4500,18500,642,6
5500,4200,18405,747,10
5500,4800,18469,605,9
5500,3800,18411,805,13
5500,5200,18431,544,2
5000,300,10936,4388,3757
6000,1100,13925,2971,2389
5500,5400,18181,626,9
5500,5000,18436,551,6
6000,1800,16862,1561,834
5500,400,10352,4760,4249
6000,1300,15082,2398,1884
6000,2300,17902,1031,294
6000,1400,15391,2282,1641
6000,1700,16533,1726,1035
6000,1600,16126,1906,1174
6000,2000,17371,1321,569
6000,1900,17116,1498,712
6000,2600,18176,916,135
6000,2200,17737,1149,385
6000,3300,18459,787,22
6000,2400,18004,991,253
6000,3200,18532,736,13
6000,700,11274,4336,3839
5500,500,11320,4170,3614
6000,3100,18411,809,24
6000,3000,18423,783,46
6000,2100,17564,1245,497
6000,4100,18656,691,15
6000,4400,18606,675,5
6000,2700,18284,868,114
6000,1500,15861,2035,1373
6000,2500,18109,972,177
6000,4000,18527,745,21
6000,3900,18594,733,14
6000,3700,18621,700,7
6000,2800,18388,798,66
6000,3600,18617,703,9
6000,3800,18639,690,10
6000,3400,18528,781,17
6000,3500,18588,765,12
6000,4500,18586,675,13
6000,4700,18651,651,5
6000,1200,14586,2702,2115
6000,2900,18435,778,47
6000,600,10575,4679,4270
6000,4300,18576,706,14
6000,4600,18616,665,8
6000,900,12670,3672,3113
6000,4200,18575,702,13
6000,5100,18580,608,4
6000,4900,18639,594,8
6000,5000,18579,629,6
6000,5500,18642,475,6
6000,5300,18645,508,6
6000,1000,13530,3147,2562
6000,800,11994,4001,3499
5500,300,9633,5090,4588
6000,5400,18624,486,8
6000,5200,18667,527,5
6500,200,5747,7086,6865
6000,5900,18470,481,10
6000,5600,18719,427,5
6000,5700,18644,436,4
6000,4800,18640,592,12
6500,1100,12760,3624,3160
6500,1900,16563,1749,1069
6500,1300,13927,2985,2465
6500,1700,15974,1978,1461
6500,1400,14396,2772,2241
6500,1200,13439,3244,2781
6500,1500,15024,2492,1953
6000,5800,18518,523,3
6500,2000,16959,1500,872
6500,900,11254,4425,3954
6500,2500,17890,1035,329
6000,500,9758,5063,4662
6500,1800,16221,1864,1225
6500,2100,17181,1424,743
6500,2700,18223,883,193
6500,3700,18718,688,9
6500,2300,17642,1186,508
6500,3900,18668,677,19
6500,3500,18610,691,14
6500,1600,15463,2290,1689
6500,4100,18713,637,7
6500,3100,18528,737,66
6500,2600,18077,943,232
6500,4600,18701,618,8
6500,4300,18736,636,10
6500,4200,18710,639,15
6500,3200,18558,713,42
6500,5300,18718,558,6
6500,4400,18703,653,6
6500,2200,17484,1261,602
6500,3800,18727,652,10
6500,5400,18737,536,4
6500,5500,18681,567,4
6500,4900,18761,598,5
6500,4500,18704,638,9
6500,4700,18762,601,5
6500,5200,18715,575,8
6500,5800,18694,477,7
6500,3600,18654,684,10
6500,4800,18812,563,5
6500,5700,18755,440,2
6500,2800,18234,894,154
6500,3300,18625,687,25
6500,3400,18635,678,17
6500,5600,18770,521,3
6500,6000,18758,425,7
6500,5900,18699,508,3
6500,6300,18716,426,4
6500,4000,18707,631,12
6500,6400,18618,447,0
6500,3000,18420,776,88
6500,5100,18698,581,3
6500,2400,17795,1108,410
6500,2900,18379,830,132
6500,5000,18697,604,2
6500,1000,12055,3925,3506
6500,6200,18763,393,2
6500,6100,18679,465,8
6500,500,8346,5702,5440
6500,400,7359,6158,5896
6500,600,9078,5207,4884
4500,1800,17126,1401,165
4500,1600,16949,1493,299
6000,200,7185,6419,6103
6000,300,8193,5667,5321
3000,300,14638,2749,813
6500,800,10777,4519,4110
5000,2700,17858,1060,16
6500,300,6695,6510,6239
6500,700,9814,4939,4531
6000,400,9030,5302,4887
