WR_mass,N_mass,total_count,offshell_count
4500,4300,20000,0
4500,3900,20000,0
4500,4200,20000,0
4500,3600,20000,0
4500,4100,20000,0
4500,4400,20000,0
4500,3300,20000,0
4500,3700,20000,0
5000,1200,20000,1810
5000,800,20000,3790
5000,1300,20000,1487
4500,3800,20000,0
5000,1600,20000,681
5000,1800,20000,374
5000,1700,20000,520
5000,1100,20000,2234
5000,2000,20000,157
5000,900,20000,3221
5000,1400,20000,1184
5000,2200,20000,23
5000,400,20000,6514
5000,1500,20000,913
5000,2100,20000,74
4500,300,20000,5567
5000,2300,20000,9
5000,1000,20000,2684
5000,1900,20000,240
5000,2500,20000,0
5000,600,20000,5078
5000,700,20000,4408
5000,3000,20000,0
5000,2800,20000,0
5000,500,20000,5846
5000,3300,20000,0
5000,2900,20000,0
5000,4200,20000,0
5000,3700,20000,0
5000,3600,20000,0
5000,4300,20000,0
5000,4100,20000,0
5000,3100,20000,0
5000,4700,20000,0
5000,3200,20000,0
5000,4400,20000,0
5000,3500,20000,0
5000,4000,20000,0
5000,3400,20000,0
5000,4800,20000,0
5000,4600,20000,0
5000,2400,20000,1
5000,2600,20000,0
5000,4900,20000,0
5000,4500,20000,0
5500,1800,20000,728
5500,1000,20000,3868
5500,1900,20000,534
5000,3800,20000,0
5500,1200,20000,2712
5500,1400,20000,1861
5500,1300,20000,2337
5000,3900,20000,0
5500,2300,20000,96
5500,2400,20000,49
5500,1500,20000,1473
5500,1100,20000,3210
5500,200,20000,10278
5500,1600,20000,1252
5500,600,20000,6682
5500,3100,20000,0
5500,1700,20000,950
5500,2900,20000,0
5500,2100,20000,242
5500,3000,20000,0
5500,2200,20000,150
5500,800,20000,5201
5500,2000,20000,386
5500,700,20000,5848
5500,4000,20000,0
5500,3300,20000,0
5500,3900,20000,0
5500,2500,20000,17
5500,4400,20000,0
5500,5300,20000,0
5500,4700,20000,0
5500,2600,20000,3
5500,900,20000,4503
5500,4100,20000,0
5500,2700,20000,0
5500,3400,20000,0
5500,5100,20000,0
5500,4300,20000,0
5500,4600,20000,0
5500,3500,20000,0
5500,2800,20000,0
5500,3600,20000,0
5500,4900,20000,0
5500,3200,20000,0
5500,3700,20000,0
5500,4500,20000,0
5500,4200,20000,0
5500,4800,20000,0
5500,3800,20000,0
5500,5200,20000,0
5000,300,20000,7481
6000,1100,20000,4424
5500,5400,20000,0
5500,5000,20000,0
6000,1800,20000,1260
5500,400,20000,8306
6000,1300,20000,3319
6000,2300,20000,294
6000,1400,20000,2818
6000,1700,20000,1595
6000,1600,20000,1937
6000,2000,20000,764
