WR,N,CrossSection
3500,800,0.001337
3500,900,0.001358
3500,1000,0.001369
3500,1100,0.001355
3500,1200,0.001329
3500,1300,0.001285
3500,1400,0.001266
3500,1500,0.001214
3500,1600,0.00116
3500,1700,0.001095
3500,1800,0.00105
3500,1900,0.0009615
3500,2000,0.0008986
3500,2100,0.0008274
3500,2200,0.0007565
3500,2300,0.0006813
3500,2400,0.0005941
3500,2500,0.0005368
3500,2600,0.0004536
3500,2700,0.0003773
3500,2800,0.0003043
3500,2900,0.0002386
3500,3000,0.0001756
3500,3100,0.0001189
3500,3200,7.345e-05
3500,3300,3.747e-05
3500,3400,1.492e-05
4000,200,6.026e-07
4000,300,9.335e-05
4000,400,0.0002575
4000,500,0.0003767
4000,600,0.0004497
4000,700,0.0004914
4000,800,0.0005114
4000,900,0.0005183
4000,1000,0.0005212
4000,1100,0.0005188
4000,1200,0.0005122
4000,1300,0.0005004
4000,1400,0.0004842
4000,1500,0.0004791
4000,1600,0.0004598
4000,1700,0.0004396
4000,1800,0.0004189
4000,1900,0.0004018
4000,2000,0.0003858
4000,2100,0.0003614
4000,2200,0.0003422
4000,2300,0.0003191
4000,2400,0.0002944
4000,2500,0.000271
4000,2600,0.0002409
4000,2700,0.0002216
4000,2800,0.0002012
4000,2900,0.0001777
4000,3000,0.0001544
4000,3100,0.0001289
4000,3200,0.0001091
4000,3300,8.78e-05
4000,3400,6.655e-05
4000,3500,4.975e-05
4000,3600,3.332e-05
4000,3700,2.071e-05
4000,3800,1.074e-05
4000,3900,4.5e-06
4500,200,2.752e-07
4500,300,4.198e-05
4500,400,0.0001139
4500,500,0.0001644
4500,600,0.0001939
4500,700,0.0002093
4500,800,0.0002165
4500,900,0.0002194
4500,1000,0.0002205
4500,1100,0.0002189
4500,1200,0.0002162
4500,1300,0.0002102
4500,1400,0.0002065
4500,1500,0.0002009
4500,1600,0.0001923
4500,1700,0.0001883
4500,1800,0.0001823
4500,1900,0.0001766
4500,2000,0.0001683
4500,2100,0.0001614
4500,2200,0.0001534
4500,2300,0.0001443
4500,2400,0.0001395
4500,2500,0.0001329
4500,2600,0.0001235
4500,2700,0.0001162
4500,2800,0.0001081
4500,2900,9.95e-05
4500,3000,9.026e-05
4500,3100,8.237e-05
4500,3200,7.451e-05
4500,3300,6.626e-05
4500,3400,5.759e-05
4500,3500,4.953e-05
4500,3600,4.185e-05
4500,3700,3.497e-05
4500,3800,2.79e-05
4500,3900,2.163e-05
4500,4000,1.538e-05
4500,4100,1.059e-05
4500,4200,6.511e-06
4500,4300,3.661e-06
4500,4400,1.583e-06
5000,200,1.392e-07
5000,300,2.118e-05
5000,400,5.728e-05
5000,500,7.973e-05
5000,600,9.467e-05
5000,700,0.0001013
5000,800,0.0001045
5000,900,0.0001047
5000,1000,0.0001037
5000,1100,0.0001056
5000,1200,9.981e-05
5000,1300,9.888e-05
5000,1400,9.703e-05
5000,1500,9.361e-05
5000,1600,9.187e-05
5000,1700,8.901e-05
5000,1800,8.591e-05
5000,1900,8.284e-05
5000,2000,8.135e-05
5000,2100,7.789e-05
5000,2200,7.537e-05
5000,2300,7.219e-05
5000,2400,6.858e-05
5000,2500,6.533e-05
5000,2600,6.295e-05
5000,2700,6.026e-05
5000,2800,5.751e-05
5000,2900,5.416e-05
5000,3000,5.061e-05
5000,3100,4.727e-05
5000,3200,4.422e-05
5000,3300,4.069e-05
5000,3400,3.769e-05
5000,3500,3.428e-05
5000,3600,3.085e-05
5000,3700,2.788e-05
5000,3800,2.493e-05
