LO_Filename,LO_CrossSection,LO_Error,NLO_Filename,NLO_CrossSection,NLO_Error,Row_NLO/LO_Ratio
../../../submit_files/condorfiles/LO999/result_WR3000_N1100/WRtoNLtoLLJJ_WR3000_N1100.log,0.01032,0.0001397,../../submit_files/condorfiles/NLO999/result_WR3000_N1100_NLO/WRtoNLtoLLJJ_WR3000_N1100_NLO.log,0.01356,1.3e-05,1.3139534883720931
../../../submit_files/condorfiles/LO999/result_WR3000_N1200/WRtoNLtoLLJJ_WR3000_N1200.log,0.009699,0.0001261,../../submit_files/condorfiles/NLO999/result_WR3000_N1200_NLO/WRtoNLtoLLJJ_WR3000_N1200_NLO.log,0.01286,1.3e-05,1.3259098876172801
../../../submit_files/condorfiles/LO999/result_WR3000_N1300/WRtoNLtoLLJJ_WR3000_N1300.log,0.009194,0.0001175,../../submit_files/condorfiles/NLO999/result_WR3000_N1300_NLO/WRtoNLtoLLJJ_WR3000_N1300_NLO.log,0.01216,1.2e-05,1.3226016967587557
../../../submit_files/condorfiles/LO999/result_WR3000_N1400/WRtoNLtoLLJJ_WR3000_N1400.log,0.008486,9.659e-05,../../submit_files/condorfiles/NLO999/result_WR3000_N1400_NLO/WRtoNLtoLLJJ_WR3000_N1400_NLO.log,0.01141,9.8e-06,1.3445675229790242
../../../submit_files/condorfiles/LO999/result_WR3000_N1500/WRtoNLtoLLJJ_WR3000_N1500.log,0.007923,9.35e-05,../../submit_files/condorfiles/NLO999/result_WR3000_N1500_NLO/WRtoNLtoLLJJ_WR3000_N1500_NLO.log,0.01061,1e-05,1.3391392149438344
../../../submit_files/condorfiles/LO999/result_WR3000_N1600/WRtoNLtoLLJJ_WR3000_N1600.log,0.007316,5.553e-05,../../submit_files/condorfiles/NLO999/result_WR3000_N1600_NLO/WRtoNLtoLLJJ_WR3000_N1600_NLO.log,0.009786,9.2e-06,1.3376161837069438
../../../submit_files/condorfiles/LO999/result_WR3000_N1700/WRtoNLtoLLJJ_WR3000_N1700.log,0.006732,3.843e-05,../../submit_files/condorfiles/NLO999/result_WR3000_N1700_NLO/WRtoNLtoLLJJ_WR3000_N1700_NLO.log,0.008932,8.4e-06,1.3267973856209152
../../../submit_files/condorfiles/LO999/result_WR3000_N1800/WRtoNLtoLLJJ_WR3000_N1800.log,0.006037,4.461e-05,../../submit_files/condorfiles/NLO999/result_WR3000_N1800_NLO/WRtoNLtoLLJJ_WR3000_N1800_NLO.log,0.00806,7.6e-06,1.3351002153387443
../../../submit_files/condorfiles/LO999/result_WR3000_N1900/WRtoNLtoLLJJ_WR3000_N1900.log,0.005373,5.943e-05,../../submit_files/condorfiles/NLO999/result_WR3000_N1900_NLO/WRtoNLtoLLJJ_WR3000_N1900_NLO.log,0.00717,6.7e-06,1.3344500279173646
../../../submit_files/condorfiles/LO999/result_WR3000_N2000/WRtoNLtoLLJJ_WR3000_N2000.log,0.004735,3.615e-05,../../submit_files/condorfiles/NLO999/result_WR3000_N2000_NLO/WRtoNLtoLLJJ_WR3000_N2000_NLO.log,0.006282,5.9e-06,1.3267159450897572
