WR mass,N mass,K factor
6500,5000,1.4104383475244404
6500,5100,1.4099982335276455
6500,5200,1.407340913624576
6500,5300,1.4153846153846157
6500,5400,1.416888652104422
6500,5500,1.4268099905153335
6500,5600,1.4124718256949662
6500,5700,1.4108956602031393
6500,5800,1.4139344262295084
6500,5900,1.4169230769230767
6500,6000,1.420857596611964
6500,6100,1.416359163591636
6500,6200,1.423658536585366
6500,6300,1.4312123817712812
6500,6400,1.4497444633730834
