WR,N,LO_CrossSection,NLO_CrossSection
3000,1000,0.0108,0.01418
3000,1100,0.01032,0.01356
3000,1200,0.009699,0.01286
3000,1300,0.009194,0.01216
3000,1400,0.008486,0.01141
3000,1500,0.007923,0.01061
3000,1600,0.007316,0.009786
3000,1700,0.006732,0.008932
3000,1800,0.006037,0.00806
3000,1900,0.005373,0.00717
3000,2000,0.004735,0.006282
3000,2100,0.004055,0.005391
3000,2200,0.003391,0.004511
3000,2300,0.002742,0.003657
3000,2400,0.002147,0.002848
3000,2500,0.001586,0.002101
3000,2600,0.001086,0.001438
3000,2700,0.000656,0.0008781
3000,2800,0.0003354,0.0004465
3000,2900,0.000126,0.0001672
3500,100,0.005108,0.006771
3500,200,0.004938,0.006554
3500,300,0.004727,0.006351
3500,400,0.00458,0.006165
3500,500,0.004489,0.005995
3500,600,0.004369,0.005829
3500,700,0.004211,0.005653
3500,800,0.004052,0.00548
3500,900,0.003972,0.005301
3500,1000,0.003894,0.005121
3500,1100,0.003668,0.004937
3500,1200,0.003521,0.00474
3500,1300,0.003401,0.004538
3500,1400,0.003177,0.004331
3500,1500,0.003019,0.004112
3500,1600,0.002893,0.003892
3500,1700,0.002657,0.003658
3500,1800,0.002511,0.003422
3500,1900,0.00233,0.00318
3500,2000,0.002154,0.002932
3500,2100,0.001967,0.002679
3500,2200,0.001785,0.002425
3500,2300,0.001602,0.002169
3500,2400,0.001431,0.001913
3500,2500,0.001217,0.001659
3500,2600,0.001037,0.001409
3500,2700,0.0008624,0.001169
3500,2800,0.0006934,0.0009404
3500,2900,0.000539,0.0007263
3500,3000,0.0003895,0.0005315
3500,3100,0.0002688,0.0003618
3500,3200,0.0001643,0.0002205
3500,3300,8.326e-05,0.0001135
3500,3400,3.327e-05,4.491e-05
4000,100,0.002074,0.002714
4000,200,0.001956,0.002594
4000,300,0.001873,0.00249
4000,400,0.00178,0.0024
4000,500,0.001715,0.002317
4000,600,0.001653,0.002238
4000,700,0.001591,0.002168
4000,800,0.001548,0.0021
4000,900,0.001494,0.002033
4000,1000,0.001463,0.001963
4000,1100,0.001397,0.001898
4000,1200,0.001357,0.001831
4000,1300,0.001286,0.001765
4000,1400,0.00123,0.001697
4000,1500,0.001198,0.00163
4000,1600,0.001146,0.001563
4000,1700,0.001094,0.001489
4000,1800,0.001015,0.001418
4000,1900,0.0009663,0.001343
4000,2000,0.0009157,0.001268
4000,2100,0.0008684,0.001192
4000,2200,0.000809,0.001114
4000,2300,0.0007535,0.001036
4000,2400,0.0006917,0.0009558
4000,2500,0.0006398,0.0008757
4000,2600,0.0005883,0.000795
4000,2700,0.0005247,0.0007141
4000,2800,0.0004666,0.0006344
4000,2900,0.0004067,0.0005566
4000,3000,0.0003504,0.0004786
4000,3100,0.0002961,0.000404
4000,3200,0.0002449,0.0003332
4000,3300,0.0001968,0.0002663
4000,3400,0.0001491,0.0002046
4000,3500,0.0001095,0.0001491
4000,3600,7.46e-05,0.0001011
4000,3700,4.6e-05,6.196e-05
4000,3800,2.4e-05,3.25e-05
4000,3900,1.003e-05,1.365e-05
4500,100,0.0009478,0.001234
4500,200,0.0008737,0.001158
4500,300,0.0008224,0.001097
4500,400,0.0007774,0.001045
4500,500,0.0007431,0.0009991
4500,600,0.0007105,0.0009568
4500,700,0.0006818,0.0009202
4500,800,0.0006547,0.0008871
4500,900,0.0006295,0.0008561
4500,1000,0.0006075,0.0008268
4500,1100,0.0005855,0.0007979
4500,1200,0.0005648,0.000771
4500,1300,0.0005443,0.0007442
4500,1400,0.0005149,0.0007182
4500,1500,0.0005027,0.0006932
4500,1600,0.0004836,0.0006673
4500,1700,0.0004706,0.0006416
4500,1800,0.0004522,0.0006167
4500,1900,0.0004336,0.0005906
4500,2000,0.0004019,0.0005642
4500,2100,0.0003871,0.0005373
4500,2200,0.0003701,0.0005105
4500,2300,0.0003514,0.0004837
