WR,N,CrossSection
6500,5400,2.403e-06
6500,5500,2.045e-06
6500,5600,1.695e-06
6500,5700,1.355e-06
6500,5800,1.091e-06
6500,5900,8.248e-07
6500,6000,6.05e-07
6500,6100,4.184e-07
6500,6200,2.62e-07
6500,6300,1.509e-07
6500,6400,7.659e-08
